id,type,label
AT5G18640,mRNA,AT5G18640
RABA2D,mRNA,RABA2D
SMT2,mRNA,SMT2
SDIR1,mRNA,SDIR1
RBL1,mRNA,RBL1
MLO14,mRNA,MLO14
AT4G30100,mRNA,AT4G30100
LAC17,mRNA,LAC17
VPS34,mRNA,VPS34
OPT5,mRNA,OPT5
AT4G28350,mRNA,AT4G28350
IAA20,mRNA,IAA20
AT1G32860,mRNA,AT1G32860
AT1G54820,mRNA,AT1G54820
MYB93,mRNA,MYB93
AT1G44835,mRNA,AT1G44835
ZAC,mRNA,ZAC
CLASP,mRNA,CLASP
ANX2,mRNA,ANX2
AT4G08850,mRNA,AT4G08850
RDR1,mRNA,RDR1
AT5G03905,mRNA,AT5G03905
XTH1,mRNA,XTH1
XTH2,mRNA,XTH2
CYP724A1,mRNA,CYP724A1
TSD2,mRNA,TSD2
AT2G23450,mRNA,AT2G23450
FKD1,mRNA,FKD1
AT4G32510,mRNA,AT4G32510
AT1G34470,mRNA,AT1G34470
REV,mRNA,REV
MORF9,mRNA,MORF9
emb1473,mRNA,emb1473
MLO13,mRNA,MLO13
AT4G29140,mRNA,AT4G29140
TPS5,mRNA,TPS5
AT5G67200,mRNA,AT5G67200
AT1G77260,mRNA,AT1G77260
CAX7,mRNA,CAX7
AT2G01630,mRNA,AT2G01630
AT5G60190,mRNA,AT5G60190
AT4G17430,mRNA,AT4G17430
SAP,mRNA,SAP
44077,mRNA,44077
YUC8,mRNA,YUC8
AT1G07030,mRNA,AT1G07030
DPMS2,mRNA,DPMS2
AT1G27700,mRNA,AT1G27700
AT1G47380,mRNA,AT1G47380
AT1G14910,mRNA,AT1G14910
GA2OX2,mRNA,GA2OX2
AT1G43910,mRNA,AT1G43910
CRK8,mRNA,CRK8
AT1G09890,mRNA,AT1G09890
PEPKR1,mRNA,PEPKR1
GCS1,mRNA,GCS1
AT4G23740,mRNA,AT4G23740
ROPGEF9,mRNA,ROPGEF9
ROPGEF8,mRNA,ROPGEF8
NTMC2T5.2,mRNA,NTMC2T5.2
AT3G47570,mRNA,AT3G47570
SURF1,mRNA,SURF1
AT1G71710,mRNA,AT1G71710
NRAMP6,mRNA,NRAMP6
UMAMIT9,mRNA,UMAMIT9
K3G17.4,mRNA,K3G17.4
PAP15,mRNA,PAP15
UXS5,mRNA,UXS5
PMEPCRA,mRNA,PMEPCRA
